trade_index,trade_date,direction,signal_time,signal_close,signal_high,signal_low,signal_vwap,orb_high,orb_low,broken_zone_low,broken_zone_high,broken_level_primary,broken_level_secondary,signal_found,break_confirmed,move_away,move_away_time,move_away_price,favorable_extreme,favorable_extreme_time,retest_reached,retest_time,retest_price,retest_candle_high,retest_candle_low,retest_candle_close,rejection,rejection_time,rejection_price,continuation,continuation_time,continuation_price,status
43,2026-08-03,BUY,2026-08-03 10:10:00+05:30,1158.0,1158.0,1151.0,1146.0221494742652,1151.2,1138.1,1146.0221494742652,1151.2,1151.2,1146.0221494742652,True,True,True,2026-08-03 10:15:00+05:30,1159.8,1176.5,2026-08-03 15:10:00+05:30,False,,,,,,False,,,False,,,MOVE_AWAY_BUT_NO_RETEST
44,2026-08-04,SELL,2026-08-04 09:50:00+05:30,1161.0,1163.0,1160.5,1164.5225946097598,1175.7,1161.9,1161.9,1164.5225946097598,1161.9,1164.5225946097598,True,True,True,2026-08-04 09:55:00+05:30,1160.6,1156.4,2026-08-04 10:45:00+05:30,True,2026-08-04 11:40:00+05:30,1161.9,1162.6,1160.4,1160.7,True,2026-08-04 11:45:00+05:30,1158.8,True,2026-08-04 11:55:00+05:30,1158.0,COMPLETE_RETEST_SEQUENCE
45,2026-08-04,SELL,2026-08-04 11:40:00+05:30,1160.7,1162.6,1160.4,1161.1970080354506,1175.7,1161.9,1161.1970080354506,1161.9,1161.9,1161.1970080354506,True,True,True,2026-08-04 11:45:00+05:30,1158.5,1153.3,2026-08-04 12:05:00+05:30,False,,,,,,False,,,False,,,MOVE_AWAY_BUT_NO_RETEST
46,2026-08-04,SELL,2026-08-04 13:45:00+05:30,1159.5,1160.6,1159.3,1159.9232965240353,1175.7,1161.9,1159.9232965240353,1161.9,1161.9,1159.9232965240353,True,True,True,2026-08-04 13:50:00+05:30,1158.7,1158.5,2026-08-04 13:55:00+05:30,True,2026-08-04 14:05:00+05:30,1159.9232965240353,1160.7,1159.3,1160.1,True,2026-08-04 14:10:00+05:30,1159.6,True,2026-08-04 14:20:00+05:30,1158.8,COMPLETE_RETEST_SEQUENCE
47,2026-08-04,SELL,2026-08-04 14:10:00+05:30,1159.6,1160.3,1159.0,1159.8962583339214,1175.7,1161.9,1159.8962583339214,1161.9,1161.9,1159.8962583339214,True,True,True,2026-08-04 14:15:00+05:30,1158.6,1158.0,2026-08-04 14:20:00+05:30,True,2026-08-04 14:30:00+05:30,1159.8962583339214,1160.7,1158.4,1159.0,True,2026-08-04 14:35:00+05:30,1159.2,True,2026-08-04 15:00:00+05:30,1157.2,COMPLETE_RETEST_SEQUENCE
48,2026-08-05,SELL,2026-08-05 09:50:00+05:30,1164.1,1167.8,1163.6,1169.2152121015347,1177.5,1165.4,1165.4,1169.2152121015347,1165.4,1169.2152121015347,True,True,True,2026-08-05 09:55:00+05:30,1163.2,1162.3,2026-08-05 10:05:00+05:30,True,2026-08-05 10:10:00+05:30,1165.4,1166.9,1163.5,1166.9,True,2026-08-05 13:40:00+05:30,1165.0,True,2026-08-05 14:45:00+05:30,1163.9,COMPLETE_RETEST_SEQUENCE
49,2026-08-05,SELL,2026-08-05 13:40:00+05:30,1165.0,1166.7,1164.1,1168.583454210935,1177.5,1165.4,1165.4,1168.583454210935,1165.4,1168.583454210935,True,True,True,2026-08-05 13:45:00+05:30,1164.6,1164.0,2026-08-05 14:00:00+05:30,True,2026-08-05 14:05:00+05:30,1165.4,1166.5,1165.2,1165.8,True,2026-08-05 14:10:00+05:30,1164.9,True,2026-08-05 14:35:00+05:30,1164.8,COMPLETE_RETEST_SEQUENCE
50,2026-08-06,SELL,2026-08-06 10:05:00+05:30,1169.7,1170.3,1168.4,1175.0199025444067,1185.8,1170.0,1170.0,1175.0199025444067,1170.0,1175.0199025444067,True,True,True,2026-08-06 10:10:00+05:30,1169.3,1169.3,2026-08-06 10:10:00+05:30,True,2026-08-06 10:15:00+05:30,1170.0,1171.8,1170.1,1170.9,True,2026-08-06 10:25:00+05:30,1168.3,True,2026-08-06 10:55:00+05:30,1167.5,COMPLETE_RETEST_SEQUENCE
51,2026-08-06,SELL,2026-08-06 10:25:00+05:30,1168.3,1171.0,1168.0,1174.3621874473195,1185.8,1170.0,1170.0,1174.3621874473195,1170.0,1174.3621874473195,True,True,True,2026-08-06 10:50:00+05:30,1167.1,1166.8,2026-08-06 11:00:00+05:30,True,2026-08-06 11:25:00+05:30,1170.0,1170.0,1167.6,1169.5,True,2026-08-06 11:45:00+05:30,1169.8,True,2026-08-06 12:25:00+05:30,1168.9,COMPLETE_RETEST_SEQUENCE
52,2026-08-06,SELL,2026-08-06 10:40:00+05:30,1168.9,1171.2,1168.5,1173.9922344987863,1185.8,1170.0,1170.0,1173.9922344987863,1170.0,1173.9922344987863,True,True,True,2026-08-06 10:45:00+05:30,1168.3,1166.8,2026-08-06 11:00:00+05:30,True,2026-08-06 11:25:00+05:30,1170.0,1170.0,1167.6,1169.5,True,2026-08-06 11:45:00+05:30,1169.8,True,2026-08-06 12:25:00+05:30,1168.9,COMPLETE_RETEST_SEQUENCE
53,2026-08-06,SELL,2026-08-06 11:45:00+05:30,1169.8,1170.5,1169.3,1172.5757717282022,1185.8,1170.0,1170.0,1172.5757717282022,1170.0,1172.5757717282022,True,True,True,2026-08-06 12:20:00+05:30,1169.0,1166.2,2026-08-06 12:55:00+05:30,True,2026-08-06 13:00:00+05:30,1170.0,1170.8,1167.5,1169.0,True,2026-08-06 13:05:00+05:30,1167.1,True,2026-08-06 13:25:00+05:30,1166.1,COMPLETE_RETEST_SEQUENCE
54,2026-08-06,SELL,2026-08-06 12:20:00+05:30,1169.6,1170.3,1169.0,1172.4402862966865,1185.8,1170.0,1170.0,1172.4402862966865,1170.0,1172.4402862966865,True,True,True,2026-08-06 12:25:00+05:30,1168.9,1166.2,2026-08-06 12:55:00+05:30,True,2026-08-06 13:00:00+05:30,1170.0,1170.8,1167.5,1169.0,True,2026-08-06 13:05:00+05:30,1167.1,True,2026-08-06 13:25:00+05:30,1166.1,COMPLETE_RETEST_SEQUENCE
55,2026-08-07,BUY,2026-08-07 09:30:00+05:30,1180.2,1182.4,1175.2,1173.1539770436432,1177.7,1155.6,1173.1539770436432,1177.7,1177.7,1173.1539770436432,True,True,True,2026-08-07 09:35:00+05:30,1181.4,1183.0,2026-08-07 09:50:00+05:30,True,2026-08-07 10:00:00+05:30,1177.7,1179.5,1177.4,1178.1,True,2026-08-07 13:40:00+05:30,1179.5,False,,,REJECTION_BUT_NO_CONTINUATION
56,2026-08-07,BUY,2026-08-07 13:40:00+05:30,1179.5,1180.2,1177.8,1174.872237972497,1177.7,1155.6,1174.872237972497,1177.7,1177.7,1174.872237972497,True,True,True,2026-08-07 13:45:00+05:30,1179.7,1180.0,2026-08-07 13:50:00+05:30,True,2026-08-07 14:00:00+05:30,1177.7,1179.5,1177.4,1177.9,True,2026-08-07 14:20:00+05:30,1177.8,True,2026-08-07 14:30:00+05:30,1178.6,COMPLETE_RETEST_SEQUENCE
57,2026-08-07,BUY,2026-08-07 14:20:00+05:30,1177.8,1178.4,1176.5,1175.0655857279812,1177.7,1155.6,1175.0655857279812,1177.7,1177.7,1175.0655857279812,True,True,True,2026-08-07 14:25:00+05:30,1178.7,1179.3,2026-08-07 14:30:00+05:30,True,2026-08-07 14:35:00+05:30,1177.7,1178.8,1177.4,1177.9,False,,,False,,,RETEST_BUT_NO_REJECTION
58,2026-08-10,BUY,2026-08-10 09:55:00+05:30,1189.0,1190.9,1178.8,1180.8895706563633,1185.0,1175.2,1180.8895706563633,1185.0,1185.0,1180.8895706563633,True,True,True,2026-08-10 10:00:00+05:30,1189.6,1195.0,2026-08-10 10:20:00+05:30,True,2026-08-10 11:50:00+05:30,1185.0,1188.5,1183.5,1184.3,True,2026-08-10 13:30:00+05:30,1185.3,True,2026-08-10 13:40:00+05:30,1185.7,COMPLETE_RETEST_SEQUENCE
