trade_index,trade_date,direction,signal_time,entry_time,entry_price,risk,original_stop_loss,original_target,original_exit_time,original_exit_reason,initial_move_r,pullback_r,initial_move_reached,initial_move_time,pullback_detected,pullback_time,pullback_price,max_favorable_before_pullback_r,target_after_pullback,target_after_pullback_time,stop_before_pullback,stop_after_pullback,target_before_pullback,valid_pullback_target,valid_pullback_target_without_prior_stop
59,2026-08-10,BUY,2026-08-10 13:40:00+05:30,2026-08-10 13:45:00+05:30,1186.29285,1.5928499999999983,1184.7,1189.47855,2026-08-10 13:50:00+05:30,STOP_LOSS,0.5,0.75,True,2026-08-10 14:25:00+05:30,True,2026-08-10 14:30:00+05:30,1186.4053625,3.9596634962487816,True,2026-08-11 09:15:00+05:30,True,True,False,True,False
59,2026-08-10,BUY,2026-08-10 13:40:00+05:30,2026-08-10 13:45:00+05:30,1186.29285,1.5928499999999983,1184.7,1189.47855,2026-08-10 13:50:00+05:30,STOP_LOSS,0.5,1.0,True,2026-08-10 14:25:00+05:30,True,2026-08-10 14:30:00+05:30,1186.00715,3.9596634962487816,True,2026-08-11 09:15:00+05:30,True,True,False,True,False
59,2026-08-10,BUY,2026-08-10 13:40:00+05:30,2026-08-10 13:45:00+05:30,1186.29285,1.5928499999999983,1184.7,1189.47855,2026-08-10 13:50:00+05:30,STOP_LOSS,0.75,0.25,True,2026-08-10 14:25:00+05:30,True,2026-08-10 14:30:00+05:30,1187.2017875,3.9596634962487816,True,2026-08-11 09:15:00+05:30,True,True,False,True,False
59,2026-08-10,BUY,2026-08-10 13:40:00+05:30,2026-08-10 13:45:00+05:30,1186.29285,1.5928499999999983,1184.7,1189.47855,2026-08-10 13:50:00+05:30,STOP_LOSS,0.75,0.5,True,2026-08-10 14:25:00+05:30,True,2026-08-10 14:30:00+05:30,1186.803575,3.9596634962487816,True,2026-08-11 09:15:00+05:30,True,True,False,True,False
59,2026-08-10,BUY,2026-08-10 13:40:00+05:30,2026-08-10 13:45:00+05:30,1186.29285,1.5928499999999983,1184.7,1189.47855,2026-08-10 13:50:00+05:30,STOP_LOSS,0.75,0.75,True,2026-08-10 14:25:00+05:30,True,2026-08-10 14:30:00+05:30,1186.4053625,3.9596634962487816,True,2026-08-11 09:15:00+05:30,True,True,False,True,False
59,2026-08-10,BUY,2026-08-10 13:40:00+05:30,2026-08-10 13:45:00+05:30,1186.29285,1.5928499999999983,1184.7,1189.47855,2026-08-10 13:50:00+05:30,STOP_LOSS,0.75,1.0,True,2026-08-10 14:25:00+05:30,True,2026-08-10 14:30:00+05:30,1186.00715,3.9596634962487816,True,2026-08-11 09:15:00+05:30,True,True,False,True,False
59,2026-08-10,BUY,2026-08-10 13:40:00+05:30,2026-08-10 13:45:00+05:30,1186.29285,1.5928499999999983,1184.7,1189.47855,2026-08-10 13:50:00+05:30,STOP_LOSS,1.0,0.25,True,2026-08-11 09:15:00+05:30,True,2026-08-11 09:20:00+05:30,1192.2017875,3.9596634962487816,True,2026-08-11 09:25:00+05:30,True,False,True,False,False
59,2026-08-10,BUY,2026-08-10 13:40:00+05:30,2026-08-10 13:45:00+05:30,1186.29285,1.5928499999999983,1184.7,1189.47855,2026-08-10 13:50:00+05:30,STOP_LOSS,1.0,0.5,True,2026-08-11 09:15:00+05:30,True,2026-08-11 09:20:00+05:30,1191.803575,3.9596634962487816,True,2026-08-11 09:25:00+05:30,True,False,True,False,False
59,2026-08-10,BUY,2026-08-10 13:40:00+05:30,2026-08-10 13:45:00+05:30,1186.29285,1.5928499999999983,1184.7,1189.47855,2026-08-10 13:50:00+05:30,STOP_LOSS,1.0,0.75,True,2026-08-11 09:15:00+05:30,True,2026-08-11 09:20:00+05:30,1191.4053625,3.9596634962487816,True,2026-08-11 09:25:00+05:30,True,False,True,False,False
59,2026-08-10,BUY,2026-08-10 13:40:00+05:30,2026-08-10 13:45:00+05:30,1186.29285,1.5928499999999983,1184.7,1189.47855,2026-08-10 13:50:00+05:30,STOP_LOSS,1.0,1.0,True,2026-08-11 09:15:00+05:30,True,2026-08-11 09:20:00+05:30,1191.00715,3.9596634962487816,True,2026-08-11 09:25:00+05:30,True,False,True,False,False
