trade_index,trade_date,direction,signal_time,entry_time,entry_price,risk,stop_loss,target,original_exit_time,original_exit_reason,initial_move_r,pullback_r,initial_move_reached,initial_move_time,initial_extreme_price,initial_extreme_r,pullback_detected,pullback_time,pullback_price,pullback_depth_r,target_after_pullback,target_after_pullback_time,target_before_pullback,stop_before_pullback,stop_after_pullback,valid_pullback_target,clean_pullback_target
16,2026-07-10,SELL,2026-07-10 14:45:00+05:30,2026-07-10 14:50:00+05:30,1067.96575,1.3342499999998836,1069.3,1065.2972500000003,2026-07-10 15:05:00+05:30,STOP_LOSS,0.5,0.25,True,2026-07-10 14:50:00+05:30,1065.5,1.8480419711450524,True,2026-07-10 15:05:00+05:30,1065.8335625,0.25,False,,False,False,False,False,False
16,2026-07-10,SELL,2026-07-10 14:45:00+05:30,2026-07-10 14:50:00+05:30,1067.96575,1.3342499999998836,1069.3,1065.2972500000003,2026-07-10 15:05:00+05:30,STOP_LOSS,0.5,0.5,True,2026-07-10 14:50:00+05:30,1065.5,1.8480419711450524,True,2026-07-10 15:05:00+05:30,1066.167125,0.5,False,,False,False,False,False,False
16,2026-07-10,SELL,2026-07-10 14:45:00+05:30,2026-07-10 14:50:00+05:30,1067.96575,1.3342499999998836,1069.3,1065.2972500000003,2026-07-10 15:05:00+05:30,STOP_LOSS,0.5,0.75,True,2026-07-10 14:50:00+05:30,1065.5,1.8480419711450524,True,2026-07-10 15:05:00+05:30,1066.5006875,0.75,False,,False,False,False,False,False
16,2026-07-10,SELL,2026-07-10 14:45:00+05:30,2026-07-10 14:50:00+05:30,1067.96575,1.3342499999998836,1069.3,1065.2972500000003,2026-07-10 15:05:00+05:30,STOP_LOSS,0.5,1.0,True,2026-07-10 14:50:00+05:30,1065.5,1.8480419711450524,True,2026-07-10 15:05:00+05:30,1066.8342499999999,1.0,False,,False,False,False,False,False
16,2026-07-10,SELL,2026-07-10 14:45:00+05:30,2026-07-10 14:50:00+05:30,1067.96575,1.3342499999998836,1069.3,1065.2972500000003,2026-07-10 15:05:00+05:30,STOP_LOSS,0.75,0.25,True,2026-07-10 14:55:00+05:30,1065.5,1.8480419711450524,True,2026-07-10 15:05:00+05:30,1065.8335625,0.25,False,,False,False,False,False,False
16,2026-07-10,SELL,2026-07-10 14:45:00+05:30,2026-07-10 14:50:00+05:30,1067.96575,1.3342499999998836,1069.3,1065.2972500000003,2026-07-10 15:05:00+05:30,STOP_LOSS,0.75,0.5,True,2026-07-10 14:55:00+05:30,1065.5,1.8480419711450524,True,2026-07-10 15:05:00+05:30,1066.167125,0.5,False,,False,False,False,False,False
16,2026-07-10,SELL,2026-07-10 14:45:00+05:30,2026-07-10 14:50:00+05:30,1067.96575,1.3342499999998836,1069.3,1065.2972500000003,2026-07-10 15:05:00+05:30,STOP_LOSS,0.75,0.75,True,2026-07-10 14:55:00+05:30,1065.5,1.8480419711450524,True,2026-07-10 15:05:00+05:30,1066.5006875,0.75,False,,False,False,False,False,False
16,2026-07-10,SELL,2026-07-10 14:45:00+05:30,2026-07-10 14:50:00+05:30,1067.96575,1.3342499999998836,1069.3,1065.2972500000003,2026-07-10 15:05:00+05:30,STOP_LOSS,0.75,1.0,True,2026-07-10 14:55:00+05:30,1065.5,1.8480419711450524,True,2026-07-10 15:05:00+05:30,1066.8342499999999,1.0,False,,False,False,False,False,False
16,2026-07-10,SELL,2026-07-10 14:45:00+05:30,2026-07-10 14:50:00+05:30,1067.96575,1.3342499999998836,1069.3,1065.2972500000003,2026-07-10 15:05:00+05:30,STOP_LOSS,1.0,0.25,True,2026-07-10 15:00:00+05:30,1065.5,1.8480419711450524,True,2026-07-10 15:05:00+05:30,1065.8335625,0.25,False,,False,False,False,False,False
16,2026-07-10,SELL,2026-07-10 14:45:00+05:30,2026-07-10 14:50:00+05:30,1067.96575,1.3342499999998836,1069.3,1065.2972500000003,2026-07-10 15:05:00+05:30,STOP_LOSS,1.0,0.5,True,2026-07-10 15:00:00+05:30,1065.5,1.8480419711450524,True,2026-07-10 15:05:00+05:30,1066.167125,0.5,False,,False,False,False,False,False
16,2026-07-10,SELL,2026-07-10 14:45:00+05:30,2026-07-10 14:50:00+05:30,1067.96575,1.3342499999998836,1069.3,1065.2972500000003,2026-07-10 15:05:00+05:30,STOP_LOSS,1.0,0.75,True,2026-07-10 15:00:00+05:30,1065.5,1.8480419711450524,True,2026-07-10 15:05:00+05:30,1066.5006875,0.75,False,,False,False,False,False,False
16,2026-07-10,SELL,2026-07-10 14:45:00+05:30,2026-07-10 14:50:00+05:30,1067.96575,1.3342499999998836,1069.3,1065.2972500000003,2026-07-10 15:05:00+05:30,STOP_LOSS,1.0,1.0,True,2026-07-10 15:00:00+05:30,1065.5,1.8480419711450524,True,2026-07-10 15:05:00+05:30,1066.8342499999999,1.0,False,,False,False,False,False,False
16,2026-07-10,SELL,2026-07-10 14:45:00+05:30,2026-07-10 14:50:00+05:30,1067.96575,1.3342499999998836,1069.3,1065.2972500000003,2026-07-10 15:05:00+05:30,STOP_LOSS,1.25,0.25,True,2026-07-10 15:00:00+05:30,1065.5,1.8480419711450524,True,2026-07-10 15:05:00+05:30,1065.8335625,0.25,False,,False,False,False,False,False
16,2026-07-10,SELL,2026-07-10 14:45:00+05:30,2026-07-10 14:50:00+05:30,1067.96575,1.3342499999998836,1069.3,1065.2972500000003,2026-07-10 15:05:00+05:30,STOP_LOSS,1.25,0.5,True,2026-07-10 15:00:00+05:30,1065.5,1.8480419711450524,True,2026-07-10 15:05:00+05:30,1066.167125,0.5,False,,False,False,False,False,False
