symbol,trade_date,direction,signal_candle_time,entry_candle_time,entry_hour,ema9,ema21,ema_regime_ok,entry_price,orb_high,orb_low,orb_range,stop_loss,initial_risk,target,exit_time,exit_price,exit_reason,ambiguous,mfe_r,mae_r,net_pnl,net_r,variant
ICICIBANK,2026-06-22,BUY,2026-06-22 10:20:00,2026-06-22 10:25:00,10:25,1357.276612166783,1354.756780466172,True,1359.6795,1358.4,1348.4,10.0,1354.6795,5.0,1369.6795,2026-06-22 13:40:00,1354.6795,STOP_LOSS,False,0.6041000000000167,1.0958999999999832,-7.714359,-1.5428718,BASELINE_ORBVWAP
ICICIBANK,2026-06-23,BUY,2026-06-23 09:30:00,2026-06-23 09:35:00,09:35,1356.3608040007332,1355.240000332821,True,1361.98065,1359.9,1354.2,5.7000000000000455,1359.13065,2.849999999999909,1367.6806499999998,2026-06-23 10:50:00,1367.6806499999998,TARGET,False,2.112052631579026,0.6598771929824981,2.9703386999998185,1.0422241052631274,BASELINE_ORBVWAP
ICICIBANK,2026-06-23,SELL,2026-06-23 12:45:00,2026-06-23 12:50:00,12:50,1356.4557203821996,1359.3399530116906,True,1353.82275,1359.9,1354.2,5.7000000000000455,1356.6727500000002,2.8500000000001364,1348.1227499999998,2026-06-23 14:05:00,1348.1227499999998,TARGET,False,2.0079824561403012,0.8341228070175052,2.998054500000273,1.0519489473684664,BASELINE_ORBVWAP
ICICIBANK,2026-06-24,BUY,2026-06-24 09:30:00,2026-06-24 09:35:00,09:35,1350.7806997578064,1348.9023966901987,True,1363.18125,1361.1,1340.6,20.5,1352.93125,10.25,1383.68125,2026-06-24 15:25:00,1372.0,END_OF_DAY,False,1.406707317073153,0.3981707317073348,6.083568749999909,0.5935189024390155,BASELINE_ORBVWAP
ICICIBANK,2026-06-25,BUY,2026-06-25 09:55:00,2026-06-25 10:00:00,10:00,1386.5054733545912,1381.8401544516018,True,1391.2953,1390.5,1380.1,10.400000000000091,1386.0953,5.2000000000000455,1401.6953,2026-06-25 10:30:00,1386.0953,STOP_LOSS,False,0.0,1.1914038461538528,-7.977390600000046,-1.5341135769230723,BASELINE_ORBVWAP
ICICIBANK,2026-06-29,SELL,2026-06-29 09:30:00,2026-06-29 09:35:00,09:35,1389.394966361232,1389.8878318133955,True,1382.9081999999999,1402.0,1387.6,14.400000000000091,1390.1082,7.2000000000000455,1368.5081999999998,2026-06-29 09:40:00,1390.1082,STOP_LOSS,False,0.0,1.1794166666666925,-9.973016400000045,-1.3851411666666642,BASELINE_ORBVWAP
ICICIBANK,2026-06-30,SELL,2026-06-30 09:45:00,2026-06-30 09:50:00,09:50,1388.4800307705873,1388.4752678840625,False,1384.5074,1402.0,1388.6,13.400000000000091,1391.2074,6.7000000000000455,1371.1073999999999,2026-06-30 14:00:00,1371.1073999999999,TARGET,False,2.3145373134328144,0.9541194029850875,10.644385200000091,1.5887142089552266,BASELINE_ORBVWAP
ICICIBANK,2026-07-01,BUY,2026-07-01 10:05:00,2026-07-01 10:10:00,10:10,1373.7206698577359,1374.027240126407,False,1375.0872000000002,1374.8,1367.7,7.099999999999909,1371.5372000000002,3.5499999999999545,1382.1872,2026-07-01 10:55:00,1371.5372000000002,STOP_LOSS,False,0.45430985915490135,1.0949859154930057,-6.296624399999955,-1.7736970140845172,BASELINE_ORBVWAP
ICICIBANK,2026-07-02,BUY,2026-07-02 09:30:00,2026-07-02 09:35:00,09:35,1383.8822689996941,1381.7276529804772,True,1391.6955,1388.0,1376.8,11.200000000000045,1386.0955,5.600000000000136,1402.8955000000003,2026-07-02 10:10:00,1386.0955,STOP_LOSS,False,0.7329464285713958,1.0170535714285536,-8.377791000000137,-1.4960341071428451,BASELINE_ORBVWAP
ICICIBANK,2026-07-07,SELL,2026-07-07 12:35:00,2026-07-07 12:40:00,12:40,1425.152220596513,1425.9857155975249,True,1418.4904000000001,1433.0,1421.4,11.599999999999909,1424.2904,5.7999999999999545,1406.8904000000002,2026-07-07 15:25:00,1412.0,END_OF_DAY,False,1.4638620689655522,0.3809655172413667,3.6599096000001357,0.6310188965517525,BASELINE_ORBVWAP
ICICIBANK,2026-07-08,BUY,2026-07-08 09:45:00,2026-07-08 09:50:00,09:50,1414.63453101526,1414.8585443853112,False,1417.4083500000002,1416.1,1410.3,5.7999999999999545,1414.50835,2.900000000000091,1423.2083500000003,2026-07-08 09:55:00,1414.50835,STOP_LOSS,False,0.10056896551720046,1.313224137931078,-5.731916700000092,-1.9765229999999696,BASELINE_ORBVWAP
ICICIBANK,2026-07-09,BUY,2026-07-09 09:50:00,2026-07-09 09:55:00,09:55,1394.5208285006056,1390.7087367890344,True,1399.3993500000001,1398.0,1381.4,16.59999999999991,1391.0993500000002,8.299999999999955,1415.99935,2026-07-09 10:45:00,1391.0993500000002,STOP_LOSS,False,0.5061024096385291,1.1324518072289387,-11.090498699999955,-1.3362046626506043,BASELINE_ORBVWAP
ICICIBANK,2026-07-09,SELL,2026-07-09 15:00:00,2026-07-09 15:05:00,15:05,1384.8482878204438,1385.2445336721912,True,1379.31,1398.0,1381.4,16.59999999999991,1387.61,8.299999999999955,1362.71,2026-07-09 15:25:00,1383.7,END_OF_DAY,False,0.2421686746987954,0.5650602409638651,-7.1530100000001005,-0.8618084337349566,BASELINE_ORBVWAP
ICICIBANK,2026-07-10,BUY,2026-07-10 09:30:00,2026-07-10 09:35:00,09:35,1394.5487613247508,1389.7498867131953,True,1405.40235,1403.0,1389.6,13.400000000000091,1398.70235,6.7000000000000455,1418.8023500000002,2026-07-10 13:05:00,1398.70235,STOP_LOSS,False,0.4175597014925309,1.0451268656716315,-9.504104700000045,-1.418523089552236,BASELINE_ORBVWAP
ICICIBANK,2026-07-13,BUY,2026-07-13 09:45:00,2026-07-13 09:50:00,09:50,1395.0419265155335,1397.6258244365204,False,1397.8986,1393.5,1386.3,7.2000000000000455,1394.2986,3.599999999999909,1405.0985999999998,2026-07-13 10:25:00,1405.0985999999998,TARGET,False,2.0837222222223035,0.7773888888889303,4.397002799999818,1.221389666666647,BASELINE_ORBVWAP
ICICIBANK,2026-07-14,SELL,2026-07-14 09:50:00,2026-07-14 09:55:00,09:55,1397.7603510741444,1401.9406501423607,True,1393.20305,1402.5,1393.5,9.0,1397.70305,4.5,1384.20305,2026-07-14 10:40:00,1397.70305,STOP_LOSS,False,0.17845555555555215,1.5993222222222256,-7.290906100000001,-1.6202013555555557,BASELINE_ORBVWAP
ICICIBANK,2026-07-14,BUY,2026-07-14 13:45:00,2026-07-14 13:50:00,13:50,1403.6879361071076,1404.4329499734974,False,1404.3018,1402.5,1393.5,9.0,1399.8018,4.5,1413.3018,2026-07-14 15:25:00,1406.4,END_OF_DAY,False,1.0662666666666558,0.333733333333334,-0.7125017999998664,-0.15833373333330364,BASELINE_ORBVWAP
ICICIBANK,2026-07-16,SELL,2026-07-16 09:55:00,2026-07-16 10:00:00,10:00,1414.8030137253368,1414.7543716416662,False,1411.39395,1423.7,1413.2,10.5,1416.64395,5.25,1400.89395,2026-07-16 10:55:00,1416.64395,STOP_LOSS,False,0.49408571428570475,1.2392476190476547,-8.0780379,-1.5386738857142856,BASELINE_ORBVWAP
ICICIBANK,2026-07-17,BUY,2026-07-17 10:15:00,2026-07-17 10:20:00,10:20,1429.416418031852,1425.471306289751,True,1432.61595,1431.5,1419.7,11.799999999999955,1426.7159500000002,5.899999999999864,1444.4159499999998,2026-07-17 14:15:00,1444.4159499999998,TARGET,False,2.946449152542422,0.44338135593223255,8.922968099999727,1.5123674745762599,BASELINE_ORBVWAP
ICICIBANK,2026-07-20,SELL,2026-07-20 09:40:00,2026-07-20 09:45:00,09:45,1448.9535748835879,1445.9501910148563,False,1443.3779499999998,1480.0,1444.5,35.5,1461.1279499999998,17.75,1407.8779499999998,2026-07-20 10:45:00,1461.1279499999998,STOP_LOSS,False,0.21847605633801848,1.0322281690140969,-20.6545059,-1.1636341352112676,BASELINE_ORBVWAP
ICICIBANK,2026-07-21,SELL,2026-07-21 09:35:00,2026-07-21 09:40:00,09:40,1464.5842012010535,1462.5171312174084,False,1460.56935,1473.9,1465.6,8.300000000000182,1464.71935,4.150000000000091,1452.2693499999998,2026-07-21 11:00:00,1464.71935,STOP_LOSS,False,0.9564698795180698,1.019433734939729,-7.075288700000091,-1.7048888433734786,BASELINE_ORBVWAP
ICICIBANK,2026-07-22,SELL,2026-07-22 09:30:00,2026-07-22 09:35:00,09:35,1455.3840531635597,1459.1139748822065,True,1446.77625,1466.4,1449.1,17.300000000000182,1455.42625,8.650000000000091,1429.4762499999997,2026-07-22 15:25:00,1439.7,END_OF_DAY,False,0.968352601156036,0.5923410404624446,4.189773749999846,0.48436690751442796,BASELINE_ORBVWAP
ICICIBANK,2026-07-23,SELL,2026-07-23 12:35:00,2026-07-23 12:40:00,12:40,1434.8810001886427,1436.106195032655,True,1431.78375,1446.0,1432.5,13.5,1438.53375,6.75,1418.28375,2026-07-23 15:25:00,1433.4,END_OF_DAY,False,0.7679629629629845,0.7579629629629684,-4.481433750000036,-0.6639161111111165,BASELINE_ORBVWAP
ICICIBANK,2026-07-24,SELL,2026-07-24 09:40:00,2026-07-24 09:45:00,09:45,1428.375164209734,1430.4611871526345,True,1423.0881,1432.0,1423.8,8.200000000000045,1427.1880999999998,4.099999999999909,1414.8881000000001,2026-07-24 12:00:00,1427.1880999999998,STOP_LOSS,False,1.8751463414634195,1.563878048780537,-6.950276199999909,-1.695189317073186,BASELINE_ORBVWAP
ICICIBANK,2026-07-24,BUY,2026-07-24 15:15:00,2026-07-24 15:20:00,15:20,1434.368889376738,1435.0269921233744,False,1434.01665,1432.0,1423.8,8.200000000000045,1429.9166500000001,4.099999999999909,1442.2166499999998,2026-07-24 15:25:00,1436.0,END_OF_DAY,False,0.5325243902439187,0.2723536585365758,-0.8866666500000271,-0.21626015853659677,BASELINE_ORBVWAP
ICICIBANK,2026-07-27,BUY,2026-07-27 13:40:00,2026-07-27 13:45:00,13:45,1438.321958287991,1437.6212601899092,True,1440.5199,1439.6,1429.2,10.399999999999864,1435.3199,5.2000000000000455,1450.9199,2026-07-27 15:25:00,1445.5,END_OF_DAY,False,1.630788461538446,0.25382692307691346,2.0940800999999927,0.4027077115384566,BASELINE_ORBVWAP
ICICIBANK,2026-07-28,BUY,2026-07-28 09:35:00,2026-07-28 09:40:00,09:40,1444.181765684723,1443.851345670361,True,1445.7225,1445.3,1440.3,5.0,1443.2225,2.5,1450.7225,2026-07-28 09:40:00,1443.2225,STOP_LOSS,False,0.07100000000000364,1.649000000000069,-5.388945,-2.1555779999999998,BASELINE_ORBVWAP
ICICIBANK,2026-07-28,SELL,2026-07-28 10:00:00,2026-07-28 10:05:00,10:05,1442.1578329795705,1442.890286102142,True,1439.1800500000002,1445.3,1440.3,5.0,1441.6800500000002,2.5,1434.1800500000002,2026-07-28 10:45:00,1434.1800500000002,TARGET,False,2.2320200000001025,0.7679799999998977,2.1266399,0.8506559599999999,BASELINE_ORBVWAP
ICICIBANK,2026-07-28,SELL,2026-07-28 15:20:00,2026-07-28 15:25:00,15:25,1427.6589958136797,1426.671429120241,False,1425.0871,1445.3,1440.3,5.0,1427.5871,2.5,1420.0871,2026-07-28 15:25:00,1427.5871,STOP_LOSS,False,2.874839999999949,1.0851599999999961,-5.3526742,-2.14106968,BASELINE_ORBVWAP
ICICIBANK,2026-07-30,BUY,2026-07-30 15:20:00,2026-07-30 15:25:00,15:25,1433.2901222980438,1431.2636007379633,True,1440.41985,1434.8,1423.8,11.0,1434.91985,5.5,1451.41985,2026-07-30 15:25:00,1434.91985,STOP_LOSS,False,0.0,2.530881818181818,-8.3753397,-1.5227890363636363,BASELINE_ORBVWAP
ICICIBANK,2026-07-31,SELL,2026-07-31 10:05:00,2026-07-31 10:10:00,10:10,1435.3806202796477,1434.4240914038714,False,1432.6833000000001,1441.9,1434.3,7.600000000000136,1436.4833000000003,3.800000000000182,1425.0832999999998,2026-07-31 11:15:00,1436.4833000000003,STOP_LOSS,False,0.33771052631578746,1.1622894736840927,-6.669166600000183,-1.7550438421052272,BASELINE_ORBVWAP
ICICIBANK,2026-08-03,BUY,2026-08-03 09:30:00,2026-08-03 09:35:00,09:35,1440.3110458724911,1437.3889077040017,True,1448.0236499999999,1446.4,1433.0,13.400000000000091,1441.3236499999998,6.7000000000000455,1461.42365,2026-08-03 15:10:00,1444.3,END_OF_DAY,False,0.2800522388060025,0.8990522388059433,-6.615973649999907,-0.9874587537313226,BASELINE_ORBVWAP
ICICIBANK,2026-08-04,BUY,2026-08-04 09:40:00,2026-08-04 09:45:00,09:45,1447.8492208285998,1447.2384287078044,True,1452.82605,1452.0,1443.1,8.900000000000091,1448.3760499999999,4.4500000000000455,1461.72605,2026-08-04 10:05:00,1448.3760499999999,STOP_LOSS,False,0.1289775280899302,1.0170898876404257,-7.3512021000000445,-1.6519555280898808,BASELINE_ORBVWAP
ICICIBANK,2026-08-04,SELL,2026-08-04 12:00:00,2026-08-04 12:05:00,12:05,1443.6747171722304,1444.997669990744,True,1440.8791999999999,1452.0,1443.1,8.900000000000091,1445.3292,4.4500000000000455,1431.9791999999998,2026-08-04 13:30:00,1431.9791999999998,TARGET,False,2.107685393258373,0.3642247191011524,6.027141600000091,1.3544138426966357,BASELINE_ORBVWAP
ICICIBANK,2026-08-05,SELL,2026-08-05 11:50:00,2026-08-05 11:55:00,11:55,1446.165185458975,1446.703705205333,True,1443.278,1454.6,1444.3,10.299999999999955,1448.4279999999999,5.149999999999864,1432.9780000000003,2026-08-05 13:05:00,1432.9780000000003,TARGET,False,2.1122330097087803,0.412038834951481,7.423743999999727,1.4415036893203734,BASELINE_ORBVWAP
ICICIBANK,2026-08-07,SELL,2026-08-07 10:35:00,2026-08-07 10:40:00,10:40,1451.9903708315755,1453.3469503276183,True,1448.8752,1455.0,1449.8,5.2000000000000455,1451.4751999999999,2.599999999999909,1443.6752000000001,2026-08-07 11:00:00,1443.6752000000001,TARGET,False,3.682769230769358,0.39415384615391424,2.307449599999818,0.8874806153845763,BASELINE_ORBVWAP
