symbol,entry_minute,entries,buys,sells
RELIANCE,14:45,19,9,10
RELIANCE,14:50,14,5,9
RELIANCE,14:55,11,8,3
RELIANCE,15:00,10,4,6
RELIANCE,15:05,12,6,6
RELIANCE,15:10,16,7,9
RELIANCE,15:15,11,4,7
RELIANCE,15:20,11,8,3
RELIANCE,15:25,8,5,3
SUZLON,09:20,35,24,11
SUZLON,09:25,24,12,12
SUZLON,09:30,18,11,7
SUZLON,09:35,15,8,7
SUZLON,09:40,7,3,4
SUZLON,09:45,11,3,8
SUZLON,09:50,4,1,3
SUZLON,09:55,8,2,6
SUZLON,10:00,4,2,2
SUZLON,10:05,6,4,2
SUZLON,10:10,5,1,4
SUZLON,10:15,9,3,6
SUZLON,10:20,11,4,7
SUZLON,10:25,8,4,4
SUZLON,10:30,7,6,1
SUZLON,10:35,10,4,6
SUZLON,10:40,10,3,7
SUZLON,10:45,11,5,6
SUZLON,10:50,8,3,5
SUZLON,10:55,9,6,3
SUZLON,11:00,11,4,7
SUZLON,11:05,14,4,10
SUZLON,11:10,4,2,2
SUZLON,11:15,8,3,5
SUZLON,11:20,5,2,3
SUZLON,11:25,10,4,6
SUZLON,11:30,13,8,5
SUZLON,11:35,5,2,3
SUZLON,11:40,11,7,4
SUZLON,11:45,12,4,8
SUZLON,11:50,9,6,3
SUZLON,11:55,4,3,1
SUZLON,12:00,7,3,4
SUZLON,12:05,5,0,5
SUZLON,12:10,11,6,5
SUZLON,12:15,8,3,5
SUZLON,12:20,8,6,2
SUZLON,12:25,10,4,6
SUZLON,12:30,14,10,4
SUZLON,12:35,10,4,6
SUZLON,12:40,4,2,2
SUZLON,12:45,7,1,6
SUZLON,12:50,11,7,4
SUZLON,12:55,9,6,3
SUZLON,13:00,10,5,5
SUZLON,13:05,13,7,6
SUZLON,13:10,4,2,2
SUZLON,13:15,11,4,7
SUZLON,13:20,7,2,5
SUZLON,13:25,9,4,5
SUZLON,13:30,6,3,3
SUZLON,13:35,6,2,4
SUZLON,13:40,11,4,7
SUZLON,13:45,10,6,4
SUZLON,13:50,12,3,9
SUZLON,13:55,9,4,5
SUZLON,14:00,14,6,8
SUZLON,14:05,8,4,4
SUZLON,14:10,7,1,6
SUZLON,14:15,8,4,4
SUZLON,14:20,7,5,2
SUZLON,14:25,14,9,5
SUZLON,14:30,6,3,3
SUZLON,14:35,8,5,3
SUZLON,14:40,7,5,2
SUZLON,14:45,15,9,6
SUZLON,14:50,12,8,4
SUZLON,14:55,10,6,4
SUZLON,15:00,11,8,3
SUZLON,15:05,23,13,10
SUZLON,15:10,16,11,5
SUZLON,15:15,12,7,5
SUZLON,15:20,12,6,6
SUZLON,15:25,10,3,7
TMPV,09:20,56,35,21
TMPV,09:25,11,3,8
TMPV,09:30,14,10,4
TMPV,09:35,5,3,2
TMPV,09:40,13,3,10
TMPV,09:45,6,1,5
TMPV,09:50,12,4,8
TMPV,09:55,4,3,1
TMPV,10:00,5,2,3
TMPV,10:05,6,3,3
TMPV,10:10,7,2,5
TMPV,10:15,6,2,4
TMPV,10:20,6,4,2
TMPV,10:25,5,1,4
TMPV,10:30,4,1,3
TMPV,10:35,3,1,2
TMPV,10:40,8,6,2
TMPV,10:45,9,4,5
TMPV,10:50,7,3,4
TMPV,10:55,8,1,7
TMPV,11:00,8,5,3
TMPV,11:05,11,3,8
TMPV,11:10,4,1,3
TMPV,11:15,2,1,1
TMPV,11:20,10,5,5
TMPV,11:25,8,4,4
TMPV,11:30,7,4,3
TMPV,11:35,10,4,6
TMPV,11:40,12,6,6
TMPV,11:45,9,4,5
TMPV,11:50,9,3,6
TMPV,11:55,10,6,4
TMPV,12:00,9,6,3
TMPV,12:05,10,5,5
TMPV,12:10,10,8,2
TMPV,12:15,7,5,2
TMPV,12:20,8,3,5
TMPV,12:25,5,1,4
TMPV,12:30,13,7,6
TMPV,12:35,10,6,4
TMPV,12:40,11,6,5
TMPV,12:45,11,5,6
TMPV,12:50,7,4,3
TMPV,12:55,12,4,8
TMPV,13:00,7,5,2
TMPV,13:05,7,4,3
TMPV,13:10,12,7,5
TMPV,13:15,11,6,5
TMPV,13:20,14,6,8
TMPV,13:25,6,3,3
TMPV,13:30,13,7,6
TMPV,13:35,9,6,3
TMPV,13:40,4,3,1
TMPV,13:45,8,3,5
TMPV,13:50,9,4,5
TMPV,13:55,10,4,6
TMPV,14:00,16,9,7
TMPV,14:05,10,2,8
TMPV,14:10,14,4,10
TMPV,14:15,11,6,5
TMPV,14:20,6,0,6
TMPV,14:25,11,8,3
TMPV,14:30,10,6,4
TMPV,14:35,10,3,7
TMPV,14:40,10,3,7
TMPV,14:45,10,6,4
TMPV,14:50,5,4,1
TMPV,14:55,8,8,0
TMPV,15:00,16,9,7
TMPV,15:05,15,7,8
TMPV,15:10,13,6,7
TMPV,15:15,6,2,4
TMPV,15:20,16,9,7
TMPV,15:25,11,8,3
