symbol,trade_date,direction,signal_candle_time,entry_candle_time,entry_hour,entry_price,orb_high,orb_low,orb_range,stop_loss,initial_risk,target,exit_time,exit_price,exit_reason,ambiguous,net_pnl,net_r,variant
OLAELEC,2026-05-22,BUY,2026-05-22 10:30:00,2026-05-22 10:35:00,10:35,36.168075,35.89,35.37,0.5200000000000031,35.908075,0.2600000000000051,36.68807500000001,2026-05-22 10:50:00,36.68807500000001,TARGET,False,0.4471438500000102,1.719784038461544,ORB_50PCT
OLAELEC,2026-05-22,BUY,2026-05-22 10:30:00,2026-05-22 10:35:00,10:35,36.168075,35.89,35.37,0.5200000000000031,35.37,0.7980750000000043,37.76422500000001,2026-05-22 15:25:00,35.97,END_OF_DAY,False,-0.2702130750000029,-0.3385810544121811,ORB_BOUNDARY
OLAELEC,2026-05-25,BUY,2026-05-25 14:55:00,2026-05-25 15:00:00,15:00,37.728855,37.38,36.36,1.0200000000000031,37.218855000000005,0.509999999999998,38.748855,2026-05-25 15:25:00,37.85,END_OF_DAY,False,0.045566144999998504,0.0893453823529386,ORB_50PCT
OLAELEC,2026-05-25,BUY,2026-05-25 14:55:00,2026-05-25 15:00:00,15:00,37.728855,37.38,36.36,1.0200000000000031,36.36,1.3688550000000035,40.46656500000001,2026-05-25 15:25:00,37.85,END_OF_DAY,False,0.045566144999998504,0.033287780663399984,ORB_BOUNDARY
OLAELEC,2026-05-26,SELL,2026-05-26 14:00:00,2026-05-26 14:05:00,14:05,37.50124,38.29,37.7,0.5899999999999963,37.79624,0.2949999999999946,36.911240000000014,2026-05-26 15:25:00,37.5,END_OF_DAY,False,-0.0737612399999972,-0.25003810169491036,ORB_50PCT
OLAELEC,2026-05-26,SELL,2026-05-26 14:00:00,2026-05-26 14:05:00,14:05,37.50124,38.29,37.7,0.5899999999999963,38.29,0.7887599999999964,35.92372000000001,2026-05-26 15:25:00,37.5,END_OF_DAY,False,-0.0737612399999972,-0.09351544195952831,ORB_BOUNDARY
OLAELEC,2026-05-27,BUY,2026-05-27 09:30:00,2026-05-27 09:35:00,09:35,38.069024999999996,37.94,37.46,0.4799999999999969,37.829025,0.23999999999999488,38.549024999999986,2026-05-27 09:40:00,37.829025,STOP_LOSS,False,-0.3158980499999949,-1.3162418750000067,ORB_50PCT
OLAELEC,2026-05-27,BUY,2026-05-27 09:30:00,2026-05-27 09:35:00,09:35,38.069024999999996,37.94,37.46,0.4799999999999969,37.46,0.6090249999999955,39.28707499999999,2026-05-27 15:10:00,39.28707499999999,TARGET,False,1.140693899999991,1.8729837034604482,ORB_BOUNDARY
OLAELEC,2026-05-29,BUY,2026-05-29 10:35:00,2026-05-29 10:40:00,10:40,41.600789999999996,41.3,39.65,1.6499999999999986,40.77579,0.8249999999999957,43.25078999999999,2026-05-29 15:25:00,41.2,END_OF_DAY,False,-0.48359078999999355,-0.5861706545454498,ORB_50PCT
OLAELEC,2026-05-29,BUY,2026-05-29 10:35:00,2026-05-29 10:40:00,10:40,41.600789999999996,41.3,39.65,1.6499999999999986,39.65,1.9507899999999978,45.50236999999999,2026-05-29 15:25:00,41.2,END_OF_DAY,False,-0.48359078999999355,-0.24789484772835318,ORB_BOUNDARY
OLAELEC,2026-06-01,SELL,2026-06-01 09:30:00,2026-06-01 09:35:00,09:35,40.43977,42.0,40.5,1.5,41.18977,0.75,38.93977,2026-06-01 11:00:00,41.18977,STOP_LOSS,False,-0.83162954,-1.1088393866666666,ORB_50PCT
OLAELEC,2026-06-01,SELL,2026-06-01 09:30:00,2026-06-01 09:35:00,09:35,40.43977,42.0,40.5,1.5,42.0,1.5602299999999971,37.31931000000001,2026-06-01 15:25:00,39.47,END_OF_DAY,False,0.889860230000004,0.5703391358966342,ORB_BOUNDARY
OLAELEC,2026-06-02,BUY,2026-06-02 14:05:00,2026-06-02 14:10:00,14:10,39.389685,39.3,38.08,1.2199999999999989,38.779685,0.6099999999999994,40.609685,2026-06-02 15:25:00,39.97,END_OF_DAY,False,0.5009553149999988,0.8212382213114742,ORB_50PCT
OLAELEC,2026-06-02,BUY,2026-06-02 14:05:00,2026-06-02 14:10:00,14:10,39.389685,39.3,38.08,1.2199999999999989,38.08,1.3096850000000018,42.009055000000004,2026-06-02 15:25:00,39.97,END_OF_DAY,False,0.5009553149999988,0.3825006127427573,ORB_BOUNDARY
