variant,threshold_pct,entry_hour,trades,total_net_pnl,avg_net_pnl,total_net_r,avg_net_r
EMA_GAP_0P1PCT,0.1,11:40,7,-0.4034533550000115,-0.05763619357143022,0.24903889872275675,0.03557698553182239
EMA_GAP_0P1PCT,0.1,11:45,7,6.968486130000081,0.9954980185714402,2.6748753348865995,0.38212504784094276
EMA_GAP_0P1PCT,0.1,11:50,11,-29.15322979999992,-2.650293618181811,-5.382197051960958,-0.4892906410873598
EMA_GAP_0P1PCT,0.1,11:55,9,-9.119028180000194,-1.0132253533333548,-2.9803611366086975,-0.3311512374009664
EMA_GAP_0P1PCT,0.1,12:00,9,-2.979685110000005,-0.3310761233333339,-3.7098851488540774,-0.41220946098378636
EMA_GAP_0P1PCT,0.1,12:05,11,-1.895628875000305,-0.17232989772730045,1.9335989242790304,0.17578172038900275
EMA_GAP_0P1PCT,0.1,12:10,7,1.4811054250000615,0.21158648928572307,1.0331946202578985,0.14759923146541407
EMA_GAP_0P1PCT,0.1,12:15,5,-3.47946179500022,-0.695892359000044,-4.273957179422165,-0.8547914358844331
EMA_GAP_0P1PCT,0.1,12:20,4,9.1007822600002,2.27519556500005,0.2600088523943531,0.06500221309858828
EMA_GAP_0P1PCT,0.1,12:25,8,-15.618351469999807,-1.9522939337499758,-3.348941716789399,-0.41861771459867486
EMA_GAP_0P1PCT,0.1,12:30,7,7.077102159999898,1.0110145942856996,2.400542134486791,0.34293459064097015
EMA_GAP_0P1PCT,0.1,12:35,8,1.7356089800001282,0.21695112250001602,-3.0061856792857107,-0.37577320991071383
EMA_GAP_0P1PCT,0.1,12:40,5,-12.10845866000002,-2.4216917320000038,-3.885846878765717,-0.7771693757531434
EMA_GAP_0P1PCT,0.1,12:45,5,-11.415477270000004,-2.2830954540000006,-0.18991429144944583,-0.03798285828988916
EMA_GAP_0P1PCT,0.1,12:50,11,29.314823780000136,2.6649839800000126,0.4265729831891434,0.03877936210810395
EMA_GAP_0P1PCT,0.1,12:55,2,-2.396044340000026,-1.198022170000013,-0.30836767843973273,-0.15418383921986636
EMA_GAP_0P1PCT,0.1,13:00,9,10.56813961499967,1.1742377349999633,-0.20256229400298897,-0.022506921555887665
EMA_GAP_0P1PCT,0.1,13:05,6,-15.44907893500025,-2.5748464891667084,-2.4196703873878094,-0.4032783978979682
EMA_GAP_0P1PCT,0.1,13:10,1,-8.726689199999955,-8.726689199999955,-1.3851887619047647,-1.3851887619047647
EMA_GAP_0P1PCT,0.1,13:15,7,-3.5261916649999474,-0.5037416664285639,-6.220670592642236,-0.8886672275203195
EMA_GAP_0P1PCT,0.1,13:20,4,-20.87333747500012,-5.21833436875003,-4.368257486638637,-1.0920643716596592
EMA_GAP_0P1PCT,0.1,13:25,9,10.928430719999852,1.2142700799999835,1.8605348935299597,0.20672609928110663
EMA_GAP_0P1PCT,0.1,13:30,7,6.181120804999951,0.8830172578571359,0.6756429561216561,0.09652042230309374
EMA_GAP_0P1PCT,0.1,13:35,4,-2.7661356650000237,-0.6915339162500059,-2.043385860967099,-0.5108464652417748
EMA_GAP_0P1PCT,0.1,13:40,4,0.8888559149999701,0.22221397874999252,-1.1617571363475325,-0.29043928408688313
EMA_GAP_0P1PCT,0.1,13:45,4,2.30053433000006,0.575133582500015,0.6799756758277447,0.16999391895693616
EMA_GAP_0P1PCT,0.1,13:50,4,-10.218200210000123,-2.554550052500031,-5.384705066451914,-1.3461762666129784
EMA_GAP_0P1PCT,0.1,13:55,3,1.6512504499999776,0.5504168166666592,0.7711063127844018,0.2570354375948006
EMA_GAP_0P1PCT,0.1,14:00,2,-15.206970260000006,-7.603485130000003,-2.0409314785560704,-1.0204657392780352
EMA_GAP_0P1PCT,0.1,14:05,6,5.464868340000187,0.9108113900000312,1.9759428596516613,0.32932380994194355
EMA_GAP_0P1PCT,0.1,14:10,13,-13.262551485000351,-1.02019626807695,-4.897705317427753,-0.3767465628790579
EMA_GAP_0P1PCT,0.1,14:15,7,7.815418809999842,1.1164884014285488,2.859059944067994,0.40843713486685623
EMA_GAP_0P1PCT,0.1,14:20,10,-18.031015654999496,-1.8031015654999496,-0.8603222345721686,-0.08603222345721687
EMA_GAP_0P1PCT,0.1,14:25,7,-0.7120154850000378,-0.10171649785714824,-3.7525193904785636,-0.5360741986397948
EMA_GAP_0P1PCT,0.1,14:30,4,11.937294279999977,2.984323569999994,0.28761379402349596,0.07190344850587399
EMA_GAP_0P1PCT,0.1,14:35,5,0.6433532099999293,0.12867064199998585,0.7647302648763028,0.15294605297526057
EMA_GAP_0P1PCT,0.1,14:40,3,3.1353980000000243,1.0451326666666747,1.874761542202449,0.6249205140674831
EMA_GAP_0P1PCT,0.1,14:45,7,-16.30120435999987,-2.3287434799999813,-3.689393075619721,-0.5270561536599602
EMA_GAP_0P1PCT,0.1,14:50,4,-0.6890191799999894,-0.17225479499999735,0.1144694781683615,0.028617369542090376
EMA_GAP_0P1PCT,0.1,14:55,8,-5.884289865000017,-0.7355362331250022,-4.566844483759329,-0.5708555604699161
EMA_GAP_0P1PCT,0.1,15:00,6,-19.309710340000073,-3.2182850566666787,-2.3537075058831727,-0.3922845843138621
EMA_GAP_0P1PCT,0.1,15:05,6,-16.67746719999986,-2.7795778666666435,-3.4577383199075515,-0.5762897199845919
EMA_GAP_0P1PCT,0.1,15:10,7,-18.679730589999775,-2.668532941428539,-3.5838685661399254,-0.511981223734275
EMA_GAP_0P1PCT,0.1,15:15,4,-9.885244169999854,-2.4713110424999636,-1.3730011395598227,-0.3432502848899557
EMA_GAP_0P1PCT,0.1,15:20,4,-14.313262230000282,-3.5783155575000705,-2.330000236340643,-0.5825000590851608
EMA_GAP_0P1PCT,0.1,15:25,10,-20.844409735000177,-2.084440973500018,-4.149448284364567,-0.4149448284364567
EMA_GAP_0P2PCT,0.2,09:35,151,-225.25478702999908,-1.4917535564900601,-77.74061333022415,-0.5148384988756566
EMA_GAP_0P2PCT,0.2,09:40,73,-30.63367519999908,-0.4196393863013572,4.756119291315764,0.06515231905912006
EMA_GAP_0P2PCT,0.2,09:45,39,-8.755800265001144,-0.2245076991025934,-13.32942174384697,-0.34178004471402484
EMA_GAP_0P2PCT,0.2,09:50,52,-50.091631690000675,-0.9633006094230899,-8.475313187336456,-0.1629867920641626
EMA_GAP_0P2PCT,0.2,09:55,33,-33.41903835000049,-1.0126981318181967,-14.99327940930165,-0.45434180028186816
EMA_GAP_0P2PCT,0.2,10:00,25,-76.22431816000027,-3.048972726400011,-8.724178112639063,-0.3489671245055625
EMA_GAP_0P2PCT,0.2,10:05,23,-49.84760201999988,-2.167287044347821,-11.782124831179942,-0.5122662970078236
EMA_GAP_0P2PCT,0.2,10:10,24,-65.95172252499994,-2.747988438541664,-5.245386857075701,-0.21855778571148754
EMA_GAP_0P2PCT,0.2,10:15,16,22.714847389999644,1.4196779618749777,0.5419537467486124,0.033872109171788276
EMA_GAP_0P2PCT,0.2,10:20,15,12.328167999999856,0.8218778666666571,1.1177882081945363,0.07451921387963575
EMA_GAP_0P2PCT,0.2,10:25,14,-1.4867475050001078,-0.10619625035715055,4.885971257260978,0.34899794694721276
EMA_GAP_0P2PCT,0.2,10:30,12,-30.15417696500007,-2.5128480804166724,-3.355547977783078,-0.2796289981485898
EMA_GAP_0P2PCT,0.2,10:35,10,3.7598892600000626,0.3759889260000063,0.016593186044038588,0.001659318604403859
EMA_GAP_0P2PCT,0.2,10:40,10,-15.368273700000268,-1.5368273700000268,-4.631797494764818,-0.46317974947648183
EMA_GAP_0P2PCT,0.2,10:45,11,-14.950228485000228,-1.3591116804545662,-4.110002944553266,-0.3736366313230242
EMA_GAP_0P2PCT,0.2,10:50,11,-15.259399695000061,-1.3872181540909148,-7.812726640452587,-0.7102478764047806
EMA_GAP_0P2PCT,0.2,10:55,9,5.159700684999921,0.5733000761111023,1.2217898753837713,0.1357544305981968
EMA_GAP_0P2PCT,0.2,11:00,1,4.143505850000023,4.143505850000023,1.7086622061855683,1.7086622061855683
EMA_GAP_0P2PCT,0.2,11:05,6,-17.01051199000015,-2.8350853316666917,-1.7239276088586597,-0.28732126814310993
EMA_GAP_0P2PCT,0.2,11:10,2,4.551846520000216,2.275923260000108,-0.5911384795482536,-0.2955692397741268
EMA_GAP_0P2PCT,0.2,11:15,5,13.40850282499998,2.681700564999996,4.729262501129918,0.9458525002259837
EMA_GAP_0P2PCT,0.2,11:20,7,-12.526787685000016,-1.789541097857145,-4.3994973972557965,-0.6284996281793995
EMA_GAP_0P2PCT,0.2,11:25,7,-3.319993345000029,-0.47428476357143273,1.2448433412080604,0.17783476302972293
EMA_GAP_0P2PCT,0.2,11:30,7,12.609683579999873,1.8013833685714105,-0.20810226099504447,-0.029728894427863497
EMA_GAP_0P2PCT,0.2,11:35,2,1.1988807549999985,0.5994403774999992,2.3535435063404004,1.1767717531702002
EMA_GAP_0P2PCT,0.2,11:40,3,0.047857715000013915,0.015952571666671304,-0.7188469267749186,-0.2396156422583062
EMA_GAP_0P2PCT,0.2,11:50,5,1.8357733750002008,0.3671546750000402,2.3517746550603555,0.4703549310120711
EMA_GAP_0P2PCT,0.2,11:55,6,-10.584771510000166,-1.7641285850000277,-2.2647585944682627,-0.37745976574471046
EMA_GAP_0P2PCT,0.2,12:00,4,-2.3231146949999766,-0.5807786737499941,-1.8643484305652285,-0.4660871076413071
EMA_GAP_0P2PCT,0.2,12:05,5,1.3051798550000204,0.2610359710000041,1.9016522012817982,0.38033044025635965
EMA_GAP_0P2PCT,0.2,12:10,6,1.2523055350000487,0.2087175891666748,0.6486569900057755,0.10810949833429591
EMA_GAP_0P2PCT,0.2,12:15,4,-0.5395784950002203,-0.13489462375005506,-2.890482685304518,-0.7226206713261295
EMA_GAP_0P2PCT,0.2,12:25,2,-9.53313623999996,-4.76656811999998,0.4629847599067567,0.23149237995337835
EMA_GAP_0P2PCT,0.2,12:30,5,6.62432033999991,1.324864067999982,0.841944488553783,0.1683888977107566
