GROUP,TRADES,AVG_MFE_R,MEDIAN_MFE_R,AVG_MAE_R,MEDIAN_MAE_R,TARGET_2R_RATE_PCT,STOP_1R_RATE_PCT,AVG_ENTRY_VWAP_DISTANCE,AVG_SIGNAL_VWAP_DISTANCE,AVG_ORB_RANGE
265,4,1.0502723904303635,1.1230297619047636,1.229132788088988,1.295638888888888,0.0,50.0,1.1935078189739636,1.1676062880139026,1.622499999999997
270,5,1.0648758167387793,0.9176315789473767,0.4255618328875247,0.541037735849055,0.0,0.0,4.06907861314023,3.8264223771531407,10.335999999999956
275,7,0.47915773427263897,0.2676274509803977,1.4611047507414487,1.987274509803906,0.0,57.14285714285714,2.5277578851897746,2.275406732791408,8.70857142857143
280,6,1.1402485851457458,1.070115450026156,0.4748344688594656,0.4547114633087409,0.0,0.0,2.2478853289013174,2.1663081552913384,3.1199999999999988
285,9,0.841239477293373,1.1421923076923153,0.9579344358592271,0.8742471910112225,0.0,44.44444444444444,4.460421164217462,4.163315664747818,8.432222222222233
290,7,1.3804583797224783,1.1448333333333607,1.3359198356121953,1.021833333333348,42.857142857142854,57.14285714285714,2.754372213097901,2.573053272812603,4.711428571428537
295,14,1.0714044646373861,0.7724403407424676,0.7909926605867291,0.47458916317193994,14.285714285714285,21.428571428571427,4.773864631101594,4.618358060901293,8.436428571428577
300,10,1.1597692445740286,1.0510691440755355,0.5993709518796037,0.38174696969696587,10.0,20.0,2.5556779861005006,2.2976685488136765,4.446999999999989
305,14,0.8121243388646506,0.6088801369863103,0.7117207051463259,0.5667590797330352,7.142857142857142,21.428571428571427,5.216016825500485,4.968806599031041,8.059285714285675
310,13,0.6558001202586473,0.6057974683544372,0.9085110283611532,0.8790166666666815,0.0,38.46153846153847,3.5634046450103063,3.3797187044977743,5.96076923076921
315,7,0.47721232008261516,0.23873041474654394,0.6815999441827937,0.5349106145251374,14.285714285714285,28.57142857142857,4.922026774406687,4.821934532492233,11.021428571428572
320,8,1.5654671599903918,0.8782939622641495,1.10074259858159,0.8423408897403146,37.5,50.0,1.8591237139307406,1.7011365744683316,2.769999999999998
325,9,1.0197228534672116,0.7592635135135195,0.6977956088176774,0.35394174757284486,0.0,22.22222222222222,3.45796872759861,3.0946781927489693,6.720000000000015
330,12,0.6123304458128769,0.42024782608698824,0.8204486463956088,0.6627648829431392,8.333333333333332,33.33333333333333,4.265097791745333,3.9756739169788116,7.8133333333333495
335,10,0.5234557608866275,0.10458188195451099,1.1983856314596706,1.1531249299720026,10.0,60.0,2.6529456884944578,2.3886116190319227,4.071999999999982
340,9,0.6668701396626849,0.37028104575163556,1.015117361065177,0.9657317073170799,11.11111111111111,44.44444444444444,1.976820531346394,1.7761812620501942,3.0200000000000085
345,11,0.41994880193827683,0.36961538461537735,0.7571585578822578,0.6388064516129076,0.0,18.181818181818183,2.705153111177302,2.602511056927355,5.908181818181836
350,13,0.4758586916938782,0.2528253012047881,0.703216963959062,0.57322429906541,0.0,15.384615384615385,3.3366409026670474,3.218557982899729,6.124615384615387
355,20,0.41184753425014725,0.14293065900547103,0.6627437156641427,0.657476442307699,5.0,15.0,3.3154798597715653,3.1329539127997603,6.854500000000023
360,8,0.34321333165749357,0.333259070294799,0.9447147976140964,0.625024358130353,0.0,12.5,2.6811231657959427,2.4717238486444537,5.403750000000006
365,7,0.5088470649761484,0.5425857142857061,0.5919374592051582,0.49837142857142935,0.0,14.285714285714285,3.5789469642835954,3.4086910117121545,6.117142857142844
370,15,0.4920280471948408,0.09406358381503521,0.5533124762305858,0.34359375000001496,13.333333333333334,13.333333333333334,5.16255555612942,5.0137196340977805,9.110666666666665
