sl_mode,target_r,symbol,trades,total_net_r,avg_net_r,profit_factor,win_rate_pct,stop_loss,target,end_of_day,avg_mfe_r,avg_mae_r
ATR_14_X1_5,2.25,TMPV,716,-722.3345277842297,-1.0088471058438964,0.2250799289989922,24.860335195530723,446,141,129,1.0057970504106333,1.0121944463480954
ATR_14_X1_5,2.5,ASHOKLEY,775,-687.9927243106556,-0.8877325474976201,0.2866430800480838,24.64516129032258,491,138,146,1.072460661406246,1.0925370241814105
ATR_14_X1_5,2.5,ICICIBANK,811,-1175.709753654139,-1.4497037652948692,0.12687264162471174,17.13933415536375,556,111,144,0.8644078604250741,1.0855027825940797
ATR_14_X1_5,2.5,INFY,758,-877.2419409638946,-1.157311267762394,0.18863936769411047,21.372031662269126,497,118,143,0.9749044333665909,1.026393867637359
ATR_14_X1_5,2.5,OLAELEC,772,-374.8980440409306,-0.4856192280322935,0.5027244043528161,29.404145077720205,479,166,127,1.2478098758960854,1.1067196648631399
ATR_14_X1_5,2.5,RELIANCE,819,-1158.4641363582796,-1.4144861249795844,0.1255953627084309,15.995115995115993,564,107,148,0.9133447904061519,1.0497565543493528
ATR_14_X1_5,2.5,SUZLON,738,-639.7845171522486,-0.8669166899081959,0.304689547945243,26.01626016260163,473,142,123,1.074217909438812,1.0504892824785497
ATR_14_X1_5,2.5,TMPV,716,-718.2571188148426,-1.003152400579389,0.2392418879252742,23.743016759776538,452,125,139,1.056600941052077,1.0167838655996566
ATR_14_X1_5,2.75,ASHOKLEY,775,-679.7571904529204,-0.8771060521973167,0.2981689862334092,23.870967741935484,492,120,163,1.1053346475401207,1.0937453744894239
ATR_14_X1_5,2.75,ICICIBANK,811,-1164.7048727065544,-1.4361342450142471,0.13804176621853073,16.52281134401973,556,98,157,0.8966576920208298,1.0857728675023315
ATR_14_X1_5,2.75,INFY,758,-893.4218296270568,-1.1786567673180168,0.18523350653513457,20.052770448548813,502,96,160,0.999081323427427,1.0336728410898135
ATR_14_X1_5,2.75,OLAELEC,772,-390.19299797672653,-0.5054313445294385,0.4936029576278086,27.590673575129532,490,145,137,1.279316577682705,1.122830014176691
ATR_14_X1_5,2.75,RELIANCE,819,-1156.614925780148,-1.4122282366057974,0.1329172515819679,15.262515262515263,568,95,156,0.9362134566247223,1.0532069405318731
ATR_14_X1_5,2.75,SUZLON,738,-638.0638556639092,-0.8645851702762997,0.3132397025344871,25.067750677506773,476,126,136,1.113532960639029,1.0540005569989677
ATR_14_X1_5,2.75,TMPV,716,-705.7572354716356,-0.9856944629492117,0.256926433256901,23.18435754189944,455,116,145,1.0926210602078021,1.021021697337373
ATR_14_X1_5,3.0,ASHOKLEY,775,-679.1018928430956,-0.8762605068943169,0.3043640310013385,23.096774193548384,495,104,176,1.1395376409972207,1.1002550601446148
ATR_14_X1_5,3.0,ICICIBANK,811,-1169.5553563461879,-1.442115112634017,0.13852861058746974,15.906288532675708,559,81,171,0.9162551335966568,1.089723367121898
ATR_14_X1_5,3.0,INFY,758,-889.7364651922618,-1.1737948089607675,0.19135898263799223,19.788918205804748,503,83,172,1.0182366315858333,1.0341881182293469
ATR_14_X1_5,3.0,OLAELEC,772,-371.2785498221163,-0.4809307640182854,0.5202182529346493,27.202072538860104,492,138,142,1.305433480791099,1.1253566435945086
ATR_14_X1_5,3.0,RELIANCE,819,-1151.8105320079062,-1.4063620659437195,0.1413783589346601,14.652014652014653,571,86,162,0.9600580625224306,1.0560009050611334
ATR_14_X1_5,3.0,SUZLON,738,-631.6592700034853,-0.8559068699234218,0.3227519162904672,24.661246612466126,477,109,152,1.1479637338047823,1.0563695870287622
ATR_14_X1_5,3.0,TMPV,716,-688.6350523882401,-0.9617807994249163,0.27540397525465393,22.905027932960895,455,110,151,1.1188221406682717,1.022603330639358
ATR_14_X2,1.0,ASHOKLEY,775,-536.1504183740765,-0.6918069914504212,0.19673977181477023,37.806451612903224,369,300,106,0.703833876207287,0.8788144377988717
ATR_14_X2,1.0,ICICIBANK,811,-885.1200365128161,-1.0913933865756056,0.06007310286883642,24.167694204685574,436,272,103,0.591422208079472,0.8999387666154244
