SYMBOL,SL_MODE,TARGET_R,FROZEN_ENTRIES,VALID_ENTRIES,INVALID_RISK_ENTRIES,TRADES,STOP_LOSS,TARGET,END_OF_DAY,WIN_RATE_PCT,TOTAL_PNL,AVG_PNL,PROFIT_FACTOR,MAX_DRAWDOWN,AVG_MFE_R,P90_MFE_R,AVG_MAE_R,P90_MAE_R
TMPV,ORB_50,1.0,270,269,1,269,118,111,40,43.12267657992565,-279.45357160121233,-1.0388608609710495,0.3213383193631741,281.6503644613873,1.5671394664024494,3.3399161990950472,1.655258266981971,3.441066959122721
TMPV,VWAP_MIDDLE,1.0,270,269,1,269,128,113,28,42.37918215613383,-284.1350723164748,-1.0562642093549248,0.29983255804655656,284.135072316475,2.062376314954606,4.229878936691319,2.2998042491461868,4.094535326967154
TMPV,ORB,1.25,270,270,0,270,56,37,177,34.81481481481482,-315.7612816295997,-1.1694862282577767,0.46174513014292534,322.9442274878248,0.6575640814515827,1.5164959559325402,0.6851377201112905,1.5026132213407257
TMPV,ORB_50,1.25,270,269,1,269,123,91,55,38.66171003717472,-276.4408527064873,-1.027661162477648,0.3635676695964936,279.83734616666237,1.5671394664024494,3.3399161990950472,1.655258266981971,3.441066959122721
TMPV,VWAP_MIDDLE,1.25,270,269,1,269,140,90,39,36.80297397769517,-304.2507658338874,-1.1310437391594326,0.3173233834806438,304.49516728126844,2.062376314954606,4.229878936691319,2.2998042491461868,4.094535326967154
TMPV,ORB,1.5,270,270,0,270,56,28,186,34.44444444444444,-306.29512215534396,-1.1344263783531259,0.47898091177513535,315.2901067755938,0.6575640814515827,1.5164959559325402,0.6851377201112905,1.5026132213407257
TMPV,ORB_50,1.5,270,269,1,269,130,79,60,36.059479553903344,-277.41863885643806,-1.0312960552283943,0.39501412899724847,282.0148329166129,1.5671394664024494,3.3399161990950472,1.655258266981971,3.441066959122721
TMPV,VWAP_MIDDLE,1.5,270,269,1,269,148,72,49,32.342007434944236,-317.9574423616967,-1.181997926995155,0.32559038481699965,318.68189925883445,2.062376314954606,4.229878936691319,2.2998042491461868,4.094535326967154
TMPV,ORB,1.75,270,270,0,270,56,20,194,34.074074074074076,-300.44327167994066,-1.1127528580738544,0.4918084101459363,311.85085253032486,0.6575640814515827,1.5164959559325402,0.6851377201112905,1.5026132213407257
TMPV,ORB_50,1.75,270,269,1,269,134,66,69,33.08550185873606,-273.8722140482627,-1.0181123198820174,0.4178229798555013,277.94654407136267,1.5671394664024494,3.3399161990950472,1.655258266981971,3.441066959122721
TMPV,VWAP_MIDDLE,1.75,270,269,1,269,150,60,59,31.226765799256505,-316.9225040433234,-1.1781505726517598,0.3386240042605096,318.1270163902175,2.062376314954606,4.229878936691319,2.2998042491461868,4.094535326967154
